,Combination,SUDA_Sum
1603,"education_level, religious_importance, BMI, gender_identity_M, sexual_attraction_F",4039
1604,"education_level, religious_importance, BMI, gender_identity_M, sexual_attraction_M",3986
1605,"education_level, religious_importance, BMI, sexual_attraction_F, sexual_attraction_M",3727
1606,"education_level, religious_importance, background_SES, gender_identity_F, gender_identity_M",1712
1607,"education_level, religious_importance, background_SES, gender_identity_F, sexual_attraction_F",1987
1608,"education_level, religious_importance, background_SES, gender_identity_F, sexual_attraction_M",1951
1609,"education_level, religious_importance, background_SES, gender_identity_M, sexual_attraction_F",1978
1610,"education_level, religious_importance, background_SES, gender_identity_M, sexual_attraction_M",1936
1611,"education_level, religious_importance, background_SES, sexual_attraction_F, sexual_attraction_M",1798
1612,"education_level, religious_importance, gender_identity_F, gender_identity_M, sexual_attraction_F",1256
1613,"education_level, religious_importance, gender_identity_F, gender_identity_M, sexual_attraction_M",1228
1614,"education_level, religious_importance, gender_identity_F, sexual_attraction_F, sexual_attraction_M",1193
1615,"education_level, religious_importance, gender_identity_M, sexual_attraction_F, sexual_attraction_M",1211
1616,"education_level, sex, handedness, religious_now, religious_upbringing",12
1617,"education_level, sex, handedness, religious_now, BMI",1206
1618,"education_level, sex, handedness, religious_now, background_SES",137
1619,"education_level, sex, handedness, religious_now, gender_identity_F",231
1620,"education_level, sex, handedness, religious_now, gender_identity_M",141
1621,"education_level, sex, handedness, religious_now, sexual_attraction_F",114
1622,"education_level, sex, handedness, religious_now, sexual_attraction_M",144
1623,"education_level, sex, handedness, religious_upbringing, BMI",1230
1624,"education_level, sex, handedness, religious_upbringing, background_SES",123
1625,"education_level, sex, handedness, religious_upbringing, gender_identity_F",238
1626,"education_level, sex, handedness, religious_upbringing, gender_identity_M",143
1627,"education_level, sex, handedness, religious_upbringing, sexual_attraction_F",119
1628,"education_level, sex, handedness, religious_upbringing, sexual_attraction_M",129
1629,"education_level, sex, handedness, BMI, background_SES",2494
1630,"education_level, sex, handedness, BMI, gender_identity_F",2117
1631,"education_level, sex, handedness, BMI, gender_identity_M",1950
1632,"education_level, sex, handedness, BMI, sexual_attraction_F",2145
1633,"education_level, sex, handedness, BMI, sexual_attraction_M",2072
1634,"education_level, sex, handedness, background_SES, gender_identity_F",542
1635,"education_level, sex, handedness, background_SES, gender_identity_M",508
1636,"education_level, sex, handedness, background_SES, sexual_attraction_F",629
1637,"education_level, sex, handedness, background_SES, sexual_attraction_M",567
1638,"education_level, sex, handedness, gender_identity_F, gender_identity_M",398
1639,"education_level, sex, handedness, gender_identity_F, sexual_attraction_F",482
1640,"education_level, sex, handedness, gender_identity_F, sexual_attraction_M",462
1641,"education_level, sex, handedness, gender_identity_M, sexual_attraction_F",455
1642,"education_level, sex, handedness, gender_identity_M, sexual_attraction_M",442
1643,"education_level, sex, handedness, sexual_attraction_F, sexual_attraction_M",287
1644,"education_level, sex, religious_now, religious_upbringing, BMI",1276
1645,"education_level, sex, religious_now, religious_upbringing, background_SES",111
1646,"education_level, sex, religious_now, religious_upbringing, gender_identity_F",237
1647,"education_level, sex, religious_now, religious_upbringing, gender_identity_M",153
1648,"education_level, sex, religious_now, religious_upbringing, sexual_attraction_F",127
1649,"education_level, sex, religious_now, religious_upbringing, sexual_attraction_M",169
1650,"education_level, sex, religious_now, BMI, background_SES",2651
1651,"education_level, sex, religious_now, BMI, gender_identity_F",2126
1652,"education_level, sex, religious_now, BMI, gender_identity_M",2021
1653,"education_level, sex, religious_now, BMI, sexual_attraction_F",2185
1654,"education_level, sex, religious_now, BMI, sexual_attraction_M",2132
1655,"education_level, sex, religious_now, background_SES, gender_identity_F",566
1656,"education_level, sex, religious_now, background_SES, gender_identity_M",513
1657,"education_level, sex, religious_now, background_SES, sexual_attraction_F",622
1658,"education_level, sex, religious_now, background_SES, sexual_attraction_M",603
1659,"education_level, sex, religious_now, gender_identity_F, gender_identity_M",386
1660,"education_level, sex, religious_now, gender_identity_F, sexual_attraction_F",490
1661,"education_level, sex, religious_now, gender_identity_F, sexual_attraction_M",521
1662,"education_level, sex, religious_now, gender_identity_M, sexual_attraction_F",464
1663,"education_level, sex, religious_now, gender_identity_M, sexual_attraction_M",508
1664,"education_level, sex, religious_now, sexual_attraction_F, sexual_attraction_M",314
1665,"education_level, sex, religious_upbringing, BMI, background_SES",2661
1666,"education_level, sex, religious_upbringing, BMI, gender_identity_F",2174
1667,"education_level, sex, religious_upbringing, BMI, gender_identity_M",2033
1668,"education_level, sex, religious_upbringing, BMI, sexual_attraction_F",2208
1669,"education_level, sex, religious_upbringing, BMI, sexual_attraction_M",2156
1670,"education_level, sex, religious_upbringing, background_SES, gender_identity_F",562
1671,"education_level, sex, religious_upbringing, background_SES, gender_identity_M",515
1672,"education_level, sex, religious_upbringing, background_SES, sexual_attraction_F",662
1673,"education_level, sex, religious_upbringing, background_SES, sexual_attraction_M",642
1674,"education_level, sex, religious_upbringing, gender_identity_F, gender_identity_M",426
1675,"education_level, sex, religious_upbringing, gender_identity_F, sexual_attraction_F",489
1676,"education_level, sex, religious_upbringing, gender_identity_F, sexual_attraction_M",489
1677,"education_level, sex, religious_upbringing, gender_identity_M, sexual_attraction_F",464
1678,"education_level, sex, religious_upbringing, gender_identity_M, sexual_attraction_M",465
1679,"education_level, sex, religious_upbringing, sexual_attraction_F, sexual_attraction_M",339
1680,"education_level, sex, BMI, background_SES, gender_identity_F",3955
1681,"education_level, sex, BMI, background_SES, gender_identity_M",3869
1682,"education_level, sex, BMI, background_SES, sexual_attraction_F",4135
1683,"education_level, sex, BMI, background_SES, sexual_attraction_M",4068
1684,"education_level, sex, BMI, gender_identity_F, gender_identity_M",2640
1685,"education_level, sex, BMI, gender_identity_F, sexual_attraction_F",3053
1686,"education_level, sex, BMI, gender_identity_F, sexual_attraction_M",2977
1687,"education_level, sex, BMI, gender_identity_M, sexual_attraction_F",2908
1688,"education_level, sex, BMI, gender_identity_M, sexual_attraction_M",2818
1689,"education_level, sex, BMI, sexual_attraction_F, sexual_attraction_M",2704
1690,"education_level, sex, background_SES, gender_identity_F, gender_identity_M",889
1691,"education_level, sex, background_SES, gender_identity_F, sexual_attraction_F",1131
1692,"education_level, sex, background_SES, gender_identity_F, sexual_attraction_M",1079
1693,"education_level, sex, background_SES, gender_identity_M, sexual_attraction_F",1137
1694,"education_level, sex, background_SES, gender_identity_M, sexual_attraction_M",1079
1695,"education_level, sex, background_SES, sexual_attraction_F, sexual_attraction_M",1017
1696,"education_level, sex, gender_identity_F, gender_identity_M, sexual_attraction_F",829
1697,"education_level, sex, gender_identity_F, gender_identity_M, sexual_attraction_M",772
1698,"education_level, sex, gender_identity_F, sexual_attraction_F, sexual_attraction_M",788
1699,"education_level, sex, gender_identity_M, sexual_attraction_F, sexual_attraction_M",761
1700,"education_level, handedness, religious_now, religious_upbringing, BMI",1181
1701,"education_level, handedness, religious_now, religious_upbringing, background_SES",145
1702,"education_level, handedness, religious_now, religious_upbringing, gender_identity_F",219
1703,"education_level, handedness, religious_now, religious_upbringing, gender_identity_M",176
1704,"education_level, handedness, religious_now, religious_upbringing, sexual_attraction_F",112
1705,"education_level, handedness, religious_now, religious_upbringing, sexual_attraction_M",137
1706,"education_level, handedness, religious_now, BMI, background_SES",2453
1707,"education_level, handedness, religious_now, BMI, gender_identity_F",2141
1708,"education_level, handedness, religious_now, BMI, gender_identity_M",2033
1709,"education_level, handedness, religious_now, BMI, sexual_attraction_F",2101
1710,"education_level, handedness, religious_now, BMI, sexual_attraction_M",2065
1711,"education_level, handedness, religious_now, background_SES, gender_identity_F",637
1712,"education_level, handedness, religious_now, background_SES, gender_identity_M",571
1713,"education_level, handedness, religious_now, background_SES, sexual_attraction_F",622
1714,"education_level, handedness, religious_now, background_SES, sexual_attraction_M",569
1715,"education_level, handedness, religious_now, gender_identity_F, gender_identity_M",396
1716,"education_level, handedness, religious_now, gender_identity_F, sexual_attraction_F",485
1717,"education_level, handedness, religious_now, gender_identity_F, sexual_attraction_M",509
1718,"education_level, handedness, religious_now, gender_identity_M, sexual_attraction_F",500
1719,"education_level, handedness, religious_now, gender_identity_M, sexual_attraction_M",531
1720,"education_level, handedness, religious_now, sexual_attraction_F, sexual_attraction_M",250
1721,"education_level, handedness, religious_upbringing, BMI, background_SES",2455
1722,"education_level, handedness, religious_upbringing, BMI, gender_identity_F",2214
1723,"education_level, handedness, religious_upbringing, BMI, gender_identity_M",2069
1724,"education_level, handedness, religious_upbringing, BMI, sexual_attraction_F",2148
1725,"education_level, handedness, religious_upbringing, BMI, sexual_attraction_M",2124
1726,"education_level, handedness, religious_upbringing, background_SES, gender_identity_F",641
1727,"education_level, handedness, religious_upbringing, background_SES, gender_identity_M",585
1728,"education_level, handedness, religious_upbringing, background_SES, sexual_attraction_F",660
1729,"education_level, handedness, religious_upbringing, background_SES, sexual_attraction_M",620
1730,"education_level, handedness, religious_upbringing, gender_identity_F, gender_identity_M",429
1731,"education_level, handedness, religious_upbringing, gender_identity_F, sexual_attraction_F",478
1732,"education_level, handedness, religious_upbringing, gender_identity_F, sexual_attraction_M",480
1733,"education_level, handedness, religious_upbringing, gender_identity_M, sexual_attraction_F",490
1734,"education_level, handedness, religious_upbringing, gender_identity_M, sexual_attraction_M",483
1735,"education_level, handedness, religious_upbringing, sexual_attraction_F, sexual_attraction_M",278
1736,"education_level, handedness, BMI, background_SES, gender_identity_F",3954
1737,"education_level, handedness, BMI, background_SES, gender_identity_M",3845
1738,"education_level, handedness, BMI, background_SES, sexual_attraction_F",3987
1739,"education_level, handedness, BMI, background_SES, sexual_attraction_M",3920
1740,"education_level, handedness, BMI, gender_identity_F, gender_identity_M",2731
1741,"education_level, handedness, BMI, gender_identity_F, sexual_attraction_F",3093
1742,"education_level, handedness, BMI, gender_identity_F, sexual_attraction_M",3048
1743,"education_level, handedness, BMI, gender_identity_M, sexual_attraction_F",2971
1744,"education_level, handedness, BMI, gender_identity_M, sexual_attraction_M",2888
1745,"education_level, handedness, BMI, sexual_attraction_F, sexual_attraction_M",2643
1746,"education_level, handedness, background_SES, gender_identity_F, gender_identity_M",973
1747,"education_level, handedness, background_SES, gender_identity_F, sexual_attraction_F",1194
1748,"education_level, handedness, background_SES, gender_identity_F, sexual_attraction_M",1117
1749,"education_level, handedness, background_SES, gender_identity_M, sexual_attraction_F",1195
1750,"education_level, handedness, background_SES, gender_identity_M, sexual_attraction_M",1113
1751,"education_level, handedness, background_SES, sexual_attraction_F, sexual_attraction_M",938
1752,"education_level, handedness, gender_identity_F, gender_identity_M, sexual_attraction_F",863
1753,"education_level, handedness, gender_identity_F, gender_identity_M, sexual_attraction_M",812
1754,"education_level, handedness, gender_identity_F, sexual_attraction_F, sexual_attraction_M",758
1755,"education_level, handedness, gender_identity_M, sexual_attraction_F, sexual_attraction_M",771
1756,"education_level, religious_now, religious_upbringing, BMI, background_SES",2565
1757,"education_level, religious_now, religious_upbringing, BMI, gender_identity_F",2240
1758,"education_level, religious_now, religious_upbringing, BMI, gender_identity_M",2155
1759,"education_level, religious_now, religious_upbringing, BMI, sexual_attraction_F",2215
1760,"education_level, religious_now, religious_upbringing, BMI, sexual_attraction_M",2204
1761,"education_level, religious_now, religious_upbringing, background_SES, gender_identity_F",665
1762,"education_level, religious_now, religious_upbringing, background_SES, gender_identity_M",620
1763,"education_level, religious_now, religious_upbringing, background_SES, sexual_attraction_F",672
1764,"education_level, religious_now, religious_upbringing, background_SES, sexual_attraction_M",651
1765,"education_level, religious_now, religious_upbringing, gender_identity_F, gender_identity_M",421
1766,"education_level, religious_now, religious_upbringing, gender_identity_F, sexual_attraction_F",499
1767,"education_level, religious_now, religious_upbringing, gender_identity_F, sexual_attraction_M",528
1768,"education_level, religious_now, religious_upbringing, gender_identity_M, sexual_attraction_F",529
1769,"education_level, religious_now, religious_upbringing, gender_identity_M, sexual_attraction_M",555
1770,"education_level, religious_now, religious_upbringing, sexual_attraction_F, sexual_attraction_M",308
1771,"education_level, religious_now, BMI, background_SES, gender_identity_F",4130
1772,"education_level, religious_now, BMI, background_SES, gender_identity_M",4061
1773,"education_level, religious_now, BMI, background_SES, sexual_attraction_F",4163
1774,"education_level, religious_now, BMI, background_SES, sexual_attraction_M",4127
1775,"education_level, religious_now, BMI, gender_identity_F, gender_identity_M",2784
1776,"education_level, religious_now, BMI, gender_identity_F, sexual_attraction_F",3134
1777,"education_level, religious_now, BMI, gender_identity_F, sexual_attraction_M",3109
1778,"education_level, religious_now, BMI, gender_identity_M, sexual_attraction_F",3064
1779,"education_level, religious_now, BMI, gender_identity_M, sexual_attraction_M",3007
1780,"education_level, religious_now, BMI, sexual_attraction_F, sexual_attraction_M",2717
1781,"education_level, religious_now, background_SES, gender_identity_F, gender_identity_M",1026
1782,"education_level, religious_now, background_SES, gender_identity_F, sexual_attraction_F",1240
1783,"education_level, religious_now, background_SES, gender_identity_F, sexual_attraction_M",1207
1784,"education_level, religious_now, background_SES, gender_identity_M, sexual_attraction_F",1238
1785,"education_level, religious_now, background_SES, gender_identity_M, sexual_attraction_M",1195
1786,"education_level, religious_now, background_SES, sexual_attraction_F, sexual_attraction_M",986
1787,"education_level, religious_now, gender_identity_F, gender_identity_M, sexual_attraction_F",878
1788,"education_level, religious_now, gender_identity_F, gender_identity_M, sexual_attraction_M",876
1789,"education_level, religious_now, gender_identity_F, sexual_attraction_F, sexual_attraction_M",810
1790,"education_level, religious_now, gender_identity_M, sexual_attraction_F, sexual_attraction_M",840
1791,"education_level, religious_upbringing, BMI, background_SES, gender_identity_F",4193
1792,"education_level, religious_upbringing, BMI, background_SES, gender_identity_M",4094
1793,"education_level, religious_upbringing, BMI, background_SES, sexual_attraction_F",4256
1794,"education_level, religious_upbringing, BMI, background_SES, sexual_attraction_M",4201
1795,"education_level, religious_upbringing, BMI, gender_identity_F, gender_identity_M",2853
1796,"education_level, religious_upbringing, BMI, gender_identity_F, sexual_attraction_F",3184
1797,"education_level, religious_upbringing, BMI, gender_identity_F, sexual_attraction_M",3150
1798,"education_level, religious_upbringing, BMI, gender_identity_M, sexual_attraction_F",3073
1799,"education_level, religious_upbringing, BMI, gender_identity_M, sexual_attraction_M",3019
1800,"education_level, religious_upbringing, BMI, sexual_attraction_F, sexual_attraction_M",2786
1801,"education_level, religious_upbringing, background_SES, gender_identity_F, gender_identity_M",1067
1802,"education_level, religious_upbringing, background_SES, gender_identity_F, sexual_attraction_F",1289
1803,"education_level, religious_upbringing, background_SES, gender_identity_F, sexual_attraction_M",1257
1804,"education_level, religious_upbringing, background_SES, gender_identity_M, sexual_attraction_F",1266
1805,"education_level, religious_upbringing, background_SES, gender_identity_M, sexual_attraction_M",1228
1806,"education_level, religious_upbringing, background_SES, sexual_attraction_F, sexual_attraction_M",1080
1807,"education_level, religious_upbringing, gender_identity_F, gender_identity_M, sexual_attraction_F",887
1808,"education_level, religious_upbringing, gender_identity_F, gender_identity_M, sexual_attraction_M",845
1809,"education_level, religious_upbringing, gender_identity_F, sexual_attraction_F, sexual_attraction_M",811
1810,"education_level, religious_upbringing, gender_identity_M, sexual_attraction_F, sexual_attraction_M",819
1811,"education_level, BMI, background_SES, gender_identity_F, gender_identity_M",4953
1812,"education_level, BMI, background_SES, gender_identity_F, sexual_attraction_F",5387
1813,"education_level, BMI, background_SES, gender_identity_F, sexual_attraction_M",5315
1814,"education_level, BMI, background_SES, gender_identity_M, sexual_attraction_F",5293
1815,"education_level, BMI, background_SES, gender_identity_M, sexual_attraction_M",5208
1816,"education_level, BMI, background_SES, sexual_attraction_F, sexual_attraction_M",4984
1817,"education_level, BMI, gender_identity_F, gender_identity_M, sexual_attraction_F",3504
1818,"education_level, BMI, gender_identity_F, gender_identity_M, sexual_attraction_M",3407
1819,"education_level, BMI, gender_identity_F, sexual_attraction_F, sexual_attraction_M",3456
1820,"education_level, BMI, gender_identity_M, sexual_attraction_F, sexual_attraction_M",3293
1821,"education_level, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_F",1724
1822,"education_level, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_M",1633
1823,"education_level, background_SES, gender_identity_F, sexual_attraction_F, sexual_attraction_M",1670
1824,"education_level, background_SES, gender_identity_M, sexual_attraction_F, sexual_attraction_M",1662
1825,"education_level, gender_identity_F, gender_identity_M, sexual_attraction_F, sexual_attraction_M",1254
1826,"religious_importance, sex, handedness, religious_now, religious_upbringing",52
1827,"religious_importance, sex, handedness, religious_now, BMI",1459
1828,"religious_importance, sex, handedness, religious_now, background_SES",242
1829,"religious_importance, sex, handedness, religious_now, gender_identity_F",253
1830,"religious_importance, sex, handedness, religious_now, gender_identity_M",208
1831,"religious_importance, sex, handedness, religious_now, sexual_attraction_F",229
1832,"religious_importance, sex, handedness, religious_now, sexual_attraction_M",302
1833,"religious_importance, sex, handedness, religious_upbringing, BMI",1596
1834,"religious_importance, sex, handedness, religious_upbringing, background_SES",346
1835,"religious_importance, sex, handedness, religious_upbringing, gender_identity_F",357
1836,"religious_importance, sex, handedness, religious_upbringing, gender_identity_M",302
1837,"religious_importance, sex, handedness, religious_upbringing, sexual_attraction_F",299
1838,"religious_importance, sex, handedness, religious_upbringing, sexual_attraction_M",386
1839,"religious_importance, sex, handedness, BMI, background_SES",2978
1840,"religious_importance, sex, handedness, BMI, gender_identity_F",2456
1841,"religious_importance, sex, handedness, BMI, gender_identity_M",2437
1842,"religious_importance, sex, handedness, BMI, sexual_attraction_F",2573
1843,"religious_importance, sex, handedness, BMI, sexual_attraction_M",2517
1844,"religious_importance, sex, handedness, background_SES, gender_identity_F",834
1845,"religious_importance, sex, handedness, background_SES, gender_identity_M",780
1846,"religious_importance, sex, handedness, background_SES, sexual_attraction_F",952
1847,"religious_importance, sex, handedness, background_SES, sexual_attraction_M",926
1848,"religious_importance, sex, handedness, gender_identity_F, gender_identity_M",522
1849,"religious_importance, sex, handedness, gender_identity_F, sexual_attraction_F",669
1850,"religious_importance, sex, handedness, gender_identity_F, sexual_attraction_M",684
1851,"religious_importance, sex, handedness, gender_identity_M, sexual_attraction_F",636
1852,"religious_importance, sex, handedness, gender_identity_M, sexual_attraction_M",694
1853,"religious_importance, sex, handedness, sexual_attraction_F, sexual_attraction_M",552
1854,"religious_importance, sex, religious_now, religious_upbringing, BMI",1498
1855,"religious_importance, sex, religious_now, religious_upbringing, background_SES",246
1856,"religious_importance, sex, religious_now, religious_upbringing, gender_identity_F",258
1857,"religious_importance, sex, religious_now, religious_upbringing, gender_identity_M",242
1858,"religious_importance, sex, religious_now, religious_upbringing, sexual_attraction_F",230
1859,"religious_importance, sex, religious_now, religious_upbringing, sexual_attraction_M",314
1860,"religious_importance, sex, religious_now, BMI, background_SES",2891
1861,"religious_importance, sex, religious_now, BMI, gender_identity_F",2317
1862,"religious_importance, sex, religious_now, BMI, gender_identity_M",2351
1863,"religious_importance, sex, religious_now, BMI, sexual_attraction_F",2469
1864,"religious_importance, sex, religious_now, BMI, sexual_attraction_M",2424
1865,"religious_importance, sex, religious_now, background_SES, gender_identity_F",688
1866,"religious_importance, sex, religious_now, background_SES, gender_identity_M",662
1867,"religious_importance, sex, religious_now, background_SES, sexual_attraction_F",804
1868,"religious_importance, sex, religious_now, background_SES, sexual_attraction_M",807
1869,"religious_importance, sex, religious_now, gender_identity_F, gender_identity_M",420
1870,"religious_importance, sex, religious_now, gender_identity_F, sexual_attraction_F",564
1871,"religious_importance, sex, religious_now, gender_identity_F, sexual_attraction_M",599
1872,"religious_importance, sex, religious_now, gender_identity_M, sexual_attraction_F",563
1873,"religious_importance, sex, religious_now, gender_identity_M, sexual_attraction_M",646
1874,"religious_importance, sex, religious_now, sexual_attraction_F, sexual_attraction_M",469
1875,"religious_importance, sex, religious_upbringing, BMI, background_SES",3073
1876,"religious_importance, sex, religious_upbringing, BMI, gender_identity_F",2533
1877,"religious_importance, sex, religious_upbringing, BMI, gender_identity_M",2525
1878,"religious_importance, sex, religious_upbringing, BMI, sexual_attraction_F",2665
1879,"religious_importance, sex, religious_upbringing, BMI, sexual_attraction_M",2642
1880,"religious_importance, sex, religious_upbringing, background_SES, gender_identity_F",859
1881,"religious_importance, sex, religious_upbringing, background_SES, gender_identity_M",858
1882,"religious_importance, sex, religious_upbringing, background_SES, sexual_attraction_F",1007
1883,"religious_importance, sex, religious_upbringing, background_SES, sexual_attraction_M",1033
1884,"religious_importance, sex, religious_upbringing, gender_identity_F, gender_identity_M",576
1885,"religious_importance, sex, religious_upbringing, gender_identity_F, sexual_attraction_F",676
1886,"religious_importance, sex, religious_upbringing, gender_identity_F, sexual_attraction_M",699
1887,"religious_importance, sex, religious_upbringing, gender_identity_M, sexual_attraction_F",689
1888,"religious_importance, sex, religious_upbringing, gender_identity_M, sexual_attraction_M",750
1889,"religious_importance, sex, religious_upbringing, sexual_attraction_F, sexual_attraction_M",580
1890,"religious_importance, sex, BMI, background_SES, gender_identity_F",4417
1891,"religious_importance, sex, BMI, background_SES, gender_identity_M",4405
1892,"religious_importance, sex, BMI, background_SES, sexual_attraction_F",4646
1893,"religious_importance, sex, BMI, background_SES, sexual_attraction_M",4613
1894,"religious_importance, sex, BMI, gender_identity_F, gender_identity_M",3144
1895,"religious_importance, sex, BMI, gender_identity_F, sexual_attraction_F",3503
1896,"religious_importance, sex, BMI, gender_identity_F, sexual_attraction_M",3425
1897,"religious_importance, sex, BMI, gender_identity_M, sexual_attraction_F",3462
1898,"religious_importance, sex, BMI, gender_identity_M, sexual_attraction_M",3406
1899,"religious_importance, sex, BMI, sexual_attraction_F, sexual_attraction_M",3226
1900,"religious_importance, sex, background_SES, gender_identity_F, gender_identity_M",1238
1901,"religious_importance, sex, background_SES, gender_identity_F, sexual_attraction_F",1535
1902,"religious_importance, sex, background_SES, gender_identity_F, sexual_attraction_M",1479
1903,"religious_importance, sex, background_SES, gender_identity_M, sexual_attraction_F",1537
1904,"religious_importance, sex, background_SES, gender_identity_M, sexual_attraction_M",1495
1905,"religious_importance, sex, background_SES, sexual_attraction_F, sexual_attraction_M",1463
1906,"religious_importance, sex, gender_identity_F, gender_identity_M, sexual_attraction_F",1013
1907,"religious_importance, sex, gender_identity_F, gender_identity_M, sexual_attraction_M",999
1908,"religious_importance, sex, gender_identity_F, sexual_attraction_F, sexual_attraction_M",1002
1909,"religious_importance, sex, gender_identity_M, sexual_attraction_F, sexual_attraction_M",1023
1910,"religious_importance, handedness, religious_now, religious_upbringing, BMI",1366
1911,"religious_importance, handedness, religious_now, religious_upbringing, background_SES",237
1912,"religious_importance, handedness, religious_now, religious_upbringing, gender_identity_F",264
1913,"religious_importance, handedness, religious_now, religious_upbringing, gender_identity_M",273
1914,"religious_importance, handedness, religious_now, religious_upbringing, sexual_attraction_F",248
1915,"religious_importance, handedness, religious_now, religious_upbringing, sexual_attraction_M",332
1916,"religious_importance, handedness, religious_now, BMI, background_SES",2656
1917,"religious_importance, handedness, religious_now, BMI, gender_identity_F",2285
1918,"religious_importance, handedness, religious_now, BMI, gender_identity_M",2319
1919,"religious_importance, handedness, religious_now, BMI, sexual_attraction_F",2365
1920,"religious_importance, handedness, religious_now, BMI, sexual_attraction_M",2329
1921,"religious_importance, handedness, religious_now, background_SES, gender_identity_F",718
1922,"religious_importance, handedness, religious_now, background_SES, gender_identity_M",672
1923,"religious_importance, handedness, religious_now, background_SES, sexual_attraction_F",782
1924,"religious_importance, handedness, religious_now, background_SES, sexual_attraction_M",753
1925,"religious_importance, handedness, religious_now, gender_identity_F, gender_identity_M",449
1926,"religious_importance, handedness, religious_now, gender_identity_F, sexual_attraction_F",583
1927,"religious_importance, handedness, religious_now, gender_identity_F, sexual_attraction_M",625
1928,"religious_importance, handedness, religious_now, gender_identity_M, sexual_attraction_F",618
1929,"religious_importance, handedness, religious_now, gender_identity_M, sexual_attraction_M",686
1930,"religious_importance, handedness, religious_now, sexual_attraction_F, sexual_attraction_M",450
1931,"religious_importance, handedness, religious_upbringing, BMI, background_SES",2847
1932,"religious_importance, handedness, religious_upbringing, BMI, gender_identity_F",2523
1933,"religious_importance, handedness, religious_upbringing, BMI, gender_identity_M",2508
1934,"religious_importance, handedness, religious_upbringing, BMI, sexual_attraction_F",2575
1935,"religious_importance, handedness, religious_upbringing, BMI, sexual_attraction_M",2576
1936,"religious_importance, handedness, religious_upbringing, background_SES, gender_identity_F",896
1937,"religious_importance, handedness, religious_upbringing, background_SES, gender_identity_M",873
1938,"religious_importance, handedness, religious_upbringing, background_SES, sexual_attraction_F",978
1939,"religious_importance, handedness, religious_upbringing, background_SES, sexual_attraction_M",994
1940,"religious_importance, handedness, religious_upbringing, gender_identity_F, gender_identity_M",611
1941,"religious_importance, handedness, religious_upbringing, gender_identity_F, sexual_attraction_F",702
1942,"religious_importance, handedness, religious_upbringing, gender_identity_F, sexual_attraction_M",745
1943,"religious_importance, handedness, religious_upbringing, gender_identity_M, sexual_attraction_F",734
1944,"religious_importance, handedness, religious_upbringing, gender_identity_M, sexual_attraction_M",792
1945,"religious_importance, handedness, religious_upbringing, sexual_attraction_F, sexual_attraction_M",594
1946,"religious_importance, handedness, BMI, background_SES, gender_identity_F",4381
1947,"religious_importance, handedness, BMI, background_SES, gender_identity_M",4339
1948,"religious_importance, handedness, BMI, background_SES, sexual_attraction_F",4482
1949,"religious_importance, handedness, BMI, background_SES, sexual_attraction_M",4446
1950,"religious_importance, handedness, BMI, gender_identity_F, gender_identity_M",3217
1951,"religious_importance, handedness, BMI, gender_identity_F, sexual_attraction_F",3537
1952,"religious_importance, handedness, BMI, gender_identity_F, sexual_attraction_M",3490
1953,"religious_importance, handedness, BMI, gender_identity_M, sexual_attraction_F",3513
1954,"religious_importance, handedness, BMI, gender_identity_M, sexual_attraction_M",3452
1955,"religious_importance, handedness, BMI, sexual_attraction_F, sexual_attraction_M",3168
1956,"religious_importance, handedness, background_SES, gender_identity_F, gender_identity_M",1296
1957,"religious_importance, handedness, background_SES, gender_identity_F, sexual_attraction_F",1579
1958,"religious_importance, handedness, background_SES, gender_identity_F, sexual_attraction_M",1505
1959,"religious_importance, handedness, background_SES, gender_identity_M, sexual_attraction_F",1573
1960,"religious_importance, handedness, background_SES, gender_identity_M, sexual_attraction_M",1497
1961,"religious_importance, handedness, background_SES, sexual_attraction_F, sexual_attraction_M",1394
1962,"religious_importance, handedness, gender_identity_F, gender_identity_M, sexual_attraction_F",1060
1963,"religious_importance, handedness, gender_identity_F, gender_identity_M, sexual_attraction_M",1052
1964,"religious_importance, handedness, gender_identity_F, sexual_attraction_F, sexual_attraction_M",1015
1965,"religious_importance, handedness, gender_identity_M, sexual_attraction_F, sexual_attraction_M",1047
1966,"religious_importance, religious_now, religious_upbringing, BMI, background_SES",2754
1967,"religious_importance, religious_now, religious_upbringing, BMI, gender_identity_F",2381
1968,"religious_importance, religious_now, religious_upbringing, BMI, gender_identity_M",2420
1969,"religious_importance, religious_now, religious_upbringing, BMI, sexual_attraction_F",2490
1970,"religious_importance, religious_now, religious_upbringing, BMI, sexual_attraction_M",2480
1971,"religious_importance, religious_now, religious_upbringing, background_SES, gender_identity_F",754
1972,"religious_importance, religious_now, religious_upbringing, background_SES, gender_identity_M",772
1973,"religious_importance, religious_now, religious_upbringing, background_SES, sexual_attraction_F",850
1974,"religious_importance, religious_now, religious_upbringing, background_SES, sexual_attraction_M",875
1975,"religious_importance, religious_now, religious_upbringing, gender_identity_F, gender_identity_M",505
1976,"religious_importance, religious_now, religious_upbringing, gender_identity_F, sexual_attraction_F",606
1977,"religious_importance, religious_now, religious_upbringing, gender_identity_F, sexual_attraction_M",652
1978,"religious_importance, religious_now, religious_upbringing, gender_identity_M, sexual_attraction_F",691
1979,"religious_importance, religious_now, religious_upbringing, gender_identity_M, sexual_attraction_M",752
