Combination,Unique Rows,Unique Rows Excluding Columns,Score
"age, religious_now, religious_upbringing, background_SES, gender_identity_F, sexual_attraction_F",338,381,1.5088757396449703
"age, religious_now, religious_upbringing, background_SES, gender_identity_F, sexual_attraction_M",332,392,1.5030120481927711
"age, religious_now, religious_upbringing, background_SES, gender_identity_M, sexual_attraction_F",326,403,1.4969325153374233
"age, religious_now, religious_upbringing, background_SES, gender_identity_M, sexual_attraction_M",323,396,1.5325077399380804
"age, religious_now, religious_upbringing, background_SES, sexual_attraction_F, sexual_attraction_M",284,352,1.897887323943662
"age, religious_now, religious_upbringing, gender_identity_F, gender_identity_M, sexual_attraction_F",169,656,1.3905325443786982
"age, religious_now, religious_upbringing, gender_identity_F, gender_identity_M, sexual_attraction_M",159,652,1.5031446540880504
"age, religious_now, religious_upbringing, gender_identity_F, sexual_attraction_F, sexual_attraction_M",153,633,1.6862745098039216
"age, religious_now, religious_upbringing, gender_identity_M, sexual_attraction_F, sexual_attraction_M",144,634,1.7847222222222223
"age, religious_now, BMI, background_SES, gender_identity_F, gender_identity_M",703,112,1.1081081081081081
"age, religious_now, BMI, background_SES, gender_identity_F, sexual_attraction_F",713,120,1.0813464235624124
"age, religious_now, BMI, background_SES, gender_identity_F, sexual_attraction_M",715,122,1.0755244755244755
"age, religious_now, BMI, background_SES, gender_identity_M, sexual_attraction_F",727,125,1.0536451169188445
"age, religious_now, BMI, background_SES, gender_identity_M, sexual_attraction_M",730,121,1.0547945205479452
"age, religious_now, BMI, background_SES, sexual_attraction_F, sexual_attraction_M",699,104,1.1258941344778255
"age, religious_now, BMI, gender_identity_F, gender_identity_M, sexual_attraction_F",403,304,1.456575682382134
"age, religious_now, BMI, gender_identity_F, gender_identity_M, sexual_attraction_M",405,309,1.4370370370370371
"age, religious_now, BMI, gender_identity_F, sexual_attraction_F, sexual_attraction_M",382,282,1.594240837696335
"age, religious_now, BMI, gender_identity_M, sexual_attraction_F, sexual_attraction_M",396,288,1.5227272727272727
"age, religious_now, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_F",305,418,1.5508196721311476
"age, religious_now, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_M",303,411,1.5841584158415842
"age, religious_now, background_SES, gender_identity_F, sexual_attraction_F, sexual_attraction_M",297,384,1.707070707070707
"age, religious_now, background_SES, gender_identity_M, sexual_attraction_F, sexual_attraction_M",290,389,1.7310344827586206
"age, religious_now, gender_identity_F, gender_identity_M, sexual_attraction_F, sexual_attraction_M",153,549,2.235294117647059
"age, religious_upbringing, BMI, background_SES, gender_identity_F, gender_identity_M",736,77,1.1059782608695652
"age, religious_upbringing, BMI, background_SES, gender_identity_F, sexual_attraction_F",746,92,1.0710455764075066
"age, religious_upbringing, BMI, background_SES, gender_identity_F, sexual_attraction_M",746,91,1.0723860589812333
"age, religious_upbringing, BMI, background_SES, gender_identity_M, sexual_attraction_F",753,98,1.053120849933599
"age, religious_upbringing, BMI, background_SES, gender_identity_M, sexual_attraction_M",752,92,1.0625
"age, religious_upbringing, BMI, background_SES, sexual_attraction_F, sexual_attraction_M",723,74,1.1300138312586445
"age, religious_upbringing, BMI, gender_identity_F, gender_identity_M, sexual_attraction_F",425,243,1.5247058823529411
"age, religious_upbringing, BMI, gender_identity_F, gender_identity_M, sexual_attraction_M",424,250,1.5117924528301887
"age, religious_upbringing, BMI, gender_identity_F, sexual_attraction_F, sexual_attraction_M",406,218,1.6576354679802956
"age, religious_upbringing, BMI, gender_identity_M, sexual_attraction_F, sexual_attraction_M",418,224,1.5956937799043063
"age, religious_upbringing, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_F",315,343,1.7396825396825397
"age, religious_upbringing, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_M",307,346,1.775244299674267
"age, religious_upbringing, background_SES, gender_identity_F, sexual_attraction_F, sexual_attraction_M",297,309,1.9595959595959596
"age, religious_upbringing, background_SES, gender_identity_M, sexual_attraction_F, sexual_attraction_M",289,328,1.9480968858131489
"age, religious_upbringing, gender_identity_F, gender_identity_M, sexual_attraction_F, sexual_attraction_M",162,461,2.654320987654321
"age, BMI, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_F",681,84,1.1850220264317182
"age, BMI, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_M",681,79,1.1923641703377386
"age, BMI, background_SES, gender_identity_F, sexual_attraction_F, sexual_attraction_M",669,81,1.210762331838565
"age, BMI, background_SES, gender_identity_M, sexual_attraction_F, sexual_attraction_M",683,80,1.1874084919472914
"age, BMI, gender_identity_F, gender_identity_M, sexual_attraction_F, sexual_attraction_M",342,145,2.181286549707602
"age, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_F, sexual_attraction_M",254,252,2.515748031496063
"education_level, religious_importance, sex, handedness, religious_now, religious_upbringing",25,689,8.08
"education_level, religious_importance, sex, handedness, religious_now, BMI",193,326,2.9274611398963732
"education_level, religious_importance, sex, handedness, religious_now, background_SES",111,437,4.09009009009009
"education_level, religious_importance, sex, handedness, religious_now, gender_identity_F",55,759,2.4
"education_level, religious_importance, sex, handedness, religious_now, gender_identity_M",53,750,2.660377358490566
"education_level, religious_importance, sex, handedness, religious_now, sexual_attraction_F",52,761,2.5
"education_level, religious_importance, sex, handedness, religious_now, sexual_attraction_M",57,761,2.280701754385965
"education_level, religious_importance, sex, handedness, religious_upbringing, BMI",252,327,2.238095238095238
"education_level, religious_importance, sex, handedness, religious_upbringing, background_SES",145,419,3.2551724137931033
"education_level, religious_importance, sex, handedness, religious_upbringing, gender_identity_F",80,737,1.925
"education_level, religious_importance, sex, handedness, religious_upbringing, gender_identity_M",81,721,2.0987654320987654
"education_level, religious_importance, sex, handedness, religious_upbringing, sexual_attraction_F",79,735,1.9746835443037976
"education_level, religious_importance, sex, handedness, religious_upbringing, sexual_attraction_M",84,733,1.880952380952381
"education_level, religious_importance, sex, handedness, BMI, background_SES",461,185,1.5314533622559654
"education_level, religious_importance, sex, handedness, BMI, gender_identity_F",328,347,1.6585365853658536
"education_level, religious_importance, sex, handedness, BMI, gender_identity_M",309,354,1.7378640776699028
"education_level, religious_importance, sex, handedness, BMI, sexual_attraction_F",346,361,1.5317919075144508
"education_level, religious_importance, sex, handedness, BMI, sexual_attraction_M",343,369,1.521865889212828
"education_level, religious_importance, sex, handedness, background_SES, gender_identity_F",224,474,1.8616071428571428
"education_level, religious_importance, sex, handedness, background_SES, gender_identity_M",218,463,1.963302752293578
"education_level, religious_importance, sex, handedness, background_SES, sexual_attraction_F",250,477,1.656
"education_level, religious_importance, sex, handedness, background_SES, sexual_attraction_M",243,482,1.683127572016461
"education_level, religious_importance, sex, handedness, gender_identity_F, gender_identity_M",74,753,1.864864864864865
"education_level, religious_importance, sex, handedness, gender_identity_F, sexual_attraction_F",92,781,1.1956521739130435
"education_level, religious_importance, sex, handedness, gender_identity_F, sexual_attraction_M",98,780,1.1326530612244898
"education_level, religious_importance, sex, handedness, gender_identity_M, sexual_attraction_F",91,768,1.3516483516483517
"education_level, religious_importance, sex, handedness, gender_identity_M, sexual_attraction_M",92,768,1.3369565217391304
"education_level, religious_importance, sex, handedness, sexual_attraction_F, sexual_attraction_M",77,763,1.6623376623376624
"education_level, religious_importance, sex, religious_now, religious_upbringing, BMI",203,307,2.876847290640394
"education_level, religious_importance, sex, religious_now, religious_upbringing, background_SES",100,390,5.01
"education_level, religious_importance, sex, religious_now, religious_upbringing, gender_identity_F",64,725,2.59375
"education_level, religious_importance, sex, religious_now, religious_upbringing, gender_identity_M",63,712,2.8412698412698414
"education_level, religious_importance, sex, religious_now, religious_upbringing, sexual_attraction_F",58,724,2.8793103448275863
"education_level, religious_importance, sex, religious_now, religious_upbringing, sexual_attraction_M",64,722,2.640625
"education_level, religious_importance, sex, religious_now, BMI, background_SES",398,191,1.7587939698492463
"education_level, religious_importance, sex, religious_now, BMI, gender_identity_F",273,355,1.9633699633699633
"education_level, religious_importance, sex, religious_now, BMI, gender_identity_M",260,356,2.0576923076923075
"education_level, religious_importance, sex, religious_now, BMI, sexual_attraction_F",290,366,1.8103448275862069
"education_level, religious_importance, sex, religious_now, BMI, sexual_attraction_M",287,375,1.7979094076655053
"education_level, religious_importance, sex, religious_now, background_SES, gender_identity_F",179,483,2.2793296089385473
"education_level, religious_importance, sex, religious_now, background_SES, gender_identity_M",179,468,2.363128491620112
"education_level, religious_importance, sex, religious_now, background_SES, sexual_attraction_F",207,485,1.961352657004831
"education_level, religious_importance, sex, religious_now, background_SES, sexual_attraction_M",202,486,2.004950495049505
"education_level, religious_importance, sex, religious_now, gender_identity_F, gender_identity_M",59,765,2.135593220338983
"education_level, religious_importance, sex, religious_now, gender_identity_F, sexual_attraction_F",73,793,1.3424657534246576
"education_level, religious_importance, sex, religious_now, gender_identity_F, sexual_attraction_M",74,790,1.364864864864865
"education_level, religious_importance, sex, religious_now, gender_identity_M, sexual_attraction_F",75,786,1.4
"education_level, religious_importance, sex, religious_now, gender_identity_M, sexual_attraction_M",73,784,1.4657534246575343
"education_level, religious_importance, sex, religious_now, sexual_attraction_F, sexual_attraction_M",58,779,1.9310344827586208
"education_level, religious_importance, sex, religious_upbringing, BMI, background_SES",494,177,1.4453441295546559
"education_level, religious_importance, sex, religious_upbringing, BMI, gender_identity_F",329,351,1.641337386018237
"education_level, religious_importance, sex, religious_upbringing, BMI, gender_identity_M",328,352,1.6432926829268293
"education_level, religious_importance, sex, religious_upbringing, BMI, sexual_attraction_F",350,360,1.5171428571428571
"education_level, religious_importance, sex, religious_upbringing, BMI, sexual_attraction_M",355,362,1.4901408450704225
"education_level, religious_importance, sex, religious_upbringing, background_SES, gender_identity_F",226,462,1.8982300884955752
"education_level, religious_importance, sex, religious_upbringing, background_SES, gender_identity_M",226,440,1.9955752212389382
"education_level, religious_importance, sex, religious_upbringing, background_SES, sexual_attraction_F",254,466,1.6732283464566928
"education_level, religious_importance, sex, religious_upbringing, background_SES, sexual_attraction_M",247,463,1.7327935222672064
"education_level, religious_importance, sex, religious_upbringing, gender_identity_F, gender_identity_M",88,741,1.7045454545454546
"education_level, religious_importance, sex, religious_upbringing, gender_identity_F, sexual_attraction_F",102,768,1.2058823529411764
"education_level, religious_importance, sex, religious_upbringing, gender_identity_F, sexual_attraction_M",102,763,1.2549019607843137
"education_level, religious_importance, sex, religious_upbringing, gender_identity_M, sexual_attraction_F",106,753,1.3018867924528301
"education_level, religious_importance, sex, religious_upbringing, gender_identity_M, sexual_attraction_M",102,749,1.392156862745098
"education_level, religious_importance, sex, religious_upbringing, sexual_attraction_F, sexual_attraction_M",93,740,1.6236559139784945
"education_level, religious_importance, sex, BMI, background_SES, gender_identity_F",583,175,1.228130360205832
"education_level, religious_importance, sex, BMI, background_SES, gender_identity_M",586,184,1.2064846416382253
"education_level, religious_importance, sex, BMI, background_SES, sexual_attraction_F",599,189,1.1719532554257095
"education_level, religious_importance, sex, BMI, background_SES, sexual_attraction_M",605,197,1.147107438016529
"education_level, religious_importance, sex, BMI, gender_identity_F, gender_identity_M",299,353,1.7993311036789297
"education_level, religious_importance, sex, BMI, gender_identity_F, sexual_attraction_F",342,393,1.456140350877193
"education_level, religious_importance, sex, BMI, gender_identity_F, sexual_attraction_M",347,398,1.420749279538905
"education_level, religious_importance, sex, BMI, gender_identity_M, sexual_attraction_F",337,395,1.4718100890207715
"education_level, religious_importance, sex, BMI, gender_identity_M, sexual_attraction_M",325,401,1.5076923076923077
"education_level, religious_importance, sex, BMI, sexual_attraction_F, sexual_attraction_M",312,358,1.7083333333333333
"education_level, religious_importance, sex, background_SES, gender_identity_F, gender_identity_M",227,480,1.8105726872246697
"education_level, religious_importance, sex, background_SES, gender_identity_F, sexual_attraction_F",253,517,1.4782608695652173
"education_level, religious_importance, sex, background_SES, gender_identity_F, sexual_attraction_M",249,523,1.4779116465863453
"education_level, religious_importance, sex, background_SES, gender_identity_M, sexual_attraction_F",250,512,1.516
"education_level, religious_importance, sex, background_SES, gender_identity_M, sexual_attraction_M",247,512,1.534412955465587
"education_level, religious_importance, sex, background_SES, sexual_attraction_F, sexual_attraction_M",234,488,1.7222222222222223
"education_level, religious_importance, sex, gender_identity_F, gender_identity_M, sexual_attraction_F",103,784,1.0388349514563107
"education_level, religious_importance, sex, gender_identity_F, gender_identity_M, sexual_attraction_M",94,783,1.148936170212766
"education_level, religious_importance, sex, gender_identity_F, sexual_attraction_F, sexual_attraction_M",101,788,1.0198019801980198
"education_level, religious_importance, sex, gender_identity_M, sexual_attraction_F, sexual_attraction_M",91,785,1.164835164835165
"education_level, religious_importance, handedness, religious_now, religious_upbringing, BMI",165,273,3.7454545454545456
"education_level, religious_importance, handedness, religious_now, religious_upbringing, background_SES",78,388,6.448717948717949
"education_level, religious_importance, handedness, religious_now, religious_upbringing, gender_identity_F",69,742,2.1594202898550723
"education_level, religious_importance, handedness, religious_now, religious_upbringing, gender_identity_M",68,728,2.3970588235294117
"education_level, religious_importance, handedness, religious_now, religious_upbringing, sexual_attraction_F",57,740,2.6491228070175437
"education_level, religious_importance, handedness, religious_now, religious_upbringing, sexual_attraction_M",64,740,2.359375
"education_level, religious_importance, handedness, religious_now, BMI, background_SES",358,164,2.03072625698324
"education_level, religious_importance, handedness, religious_now, BMI, gender_identity_F",286,348,1.8986013986013985
"education_level, religious_importance, handedness, religious_now, BMI, gender_identity_M",264,356,2.0265151515151514
"education_level, religious_importance, handedness, religious_now, BMI, sexual_attraction_F",276,366,1.9021739130434783
"education_level, religious_importance, handedness, religious_now, BMI, sexual_attraction_M",281,374,1.8398576512455516
"education_level, religious_importance, handedness, religious_now, background_SES, gender_identity_F",193,473,2.1658031088082903
"education_level, religious_importance, handedness, religious_now, background_SES, gender_identity_M",181,463,2.3646408839779007
"education_level, religious_importance, handedness, religious_now, background_SES, sexual_attraction_F",200,479,2.06
"education_level, religious_importance, handedness, religious_now, background_SES, sexual_attraction_M",192,480,2.140625
"education_level, religious_importance, handedness, religious_now, gender_identity_F, gender_identity_M",64,781,1.71875
"education_level, religious_importance, handedness, religious_now, gender_identity_F, sexual_attraction_F",82,796,1.1585365853658536
"education_level, religious_importance, handedness, religious_now, gender_identity_F, sexual_attraction_M",86,797,1.0930232558139534
"education_level, religious_importance, handedness, religious_now, gender_identity_M, sexual_attraction_F",82,790,1.2317073170731707
"education_level, religious_importance, handedness, religious_now, gender_identity_M, sexual_attraction_M",83,790,1.216867469879518
"education_level, religious_importance, handedness, religious_now, sexual_attraction_F, sexual_attraction_M",54,780,2.0555555555555554
"education_level, religious_importance, handedness, religious_upbringing, BMI, background_SES",422,154,1.7464454976303319
"education_level, religious_importance, handedness, religious_upbringing, BMI, gender_identity_F",341,328,1.651026392961877
"education_level, religious_importance, handedness, religious_upbringing, BMI, gender_identity_M",331,335,1.6797583081570997
"education_level, religious_importance, handedness, religious_upbringing, BMI, sexual_attraction_F",339,341,1.6224188790560472
"education_level, religious_importance, handedness, religious_upbringing, BMI, sexual_attraction_M",353,343,1.5524079320113315
"education_level, religious_importance, handedness, religious_upbringing, background_SES, gender_identity_F",247,438,1.834008097165992
"education_level, religious_importance, handedness, religious_upbringing, background_SES, gender_identity_M",237,426,1.9620253164556962
"education_level, religious_importance, handedness, religious_upbringing, background_SES, sexual_attraction_F",249,447,1.783132530120482
"education_level, religious_importance, handedness, religious_upbringing, background_SES, sexual_attraction_M",244,445,1.8278688524590163
"education_level, religious_importance, handedness, religious_upbringing, gender_identity_F, gender_identity_M",95,757,1.4105263157894736
"education_level, religious_importance, handedness, religious_upbringing, gender_identity_F, sexual_attraction_F",112,775,1.0357142857142858
"education_level, religious_importance, handedness, religious_upbringing, gender_identity_F, sexual_attraction_M",114,772,1.043859649122807
"education_level, religious_importance, handedness, religious_upbringing, gender_identity_M, sexual_attraction_F",114,760,1.1491228070175439
"education_level, religious_importance, handedness, religious_upbringing, gender_identity_M, sexual_attraction_M",112,758,1.1875
"education_level, religious_importance, handedness, religious_upbringing, sexual_attraction_F, sexual_attraction_M",93,748,1.5376344086021505
"education_level, religious_importance, handedness, BMI, background_SES, gender_identity_F",590,149,1.2576271186440677
"education_level, religious_importance, handedness, BMI, background_SES, gender_identity_M",587,158,1.2487223168654173
"education_level, religious_importance, handedness, BMI, background_SES, sexual_attraction_F",590,162,1.235593220338983
"education_level, religious_importance, handedness, BMI, background_SES, sexual_attraction_M",592,172,1.214527027027027
"education_level, religious_importance, handedness, BMI, gender_identity_F, gender_identity_M",312,368,1.6762820512820513
"education_level, religious_importance, handedness, BMI, gender_identity_F, sexual_attraction_F",354,389,1.4180790960451977
"education_level, religious_importance, handedness, BMI, gender_identity_F, sexual_attraction_M",361,392,1.3822714681440442
"education_level, religious_importance, handedness, BMI, gender_identity_M, sexual_attraction_F",352,398,1.4005681818181819
"education_level, religious_importance, handedness, BMI, gender_identity_M, sexual_attraction_M",339,404,1.4365781710914454
"education_level, religious_importance, handedness, BMI, sexual_attraction_F, sexual_attraction_M",306,357,1.7450980392156863
"education_level, religious_importance, handedness, background_SES, gender_identity_F, gender_identity_M",239,487,1.6903765690376569
"education_level, religious_importance, handedness, background_SES, gender_identity_F, sexual_attraction_F",272,504,1.4227941176470589
"education_level, religious_importance, handedness, background_SES, gender_identity_F, sexual_attraction_M",260,510,1.4653846153846153
"education_level, religious_importance, handedness, background_SES, gender_identity_M, sexual_attraction_F",260,502,1.4961538461538462
"education_level, religious_importance, handedness, background_SES, gender_identity_M, sexual_attraction_M",254,505,1.5196850393700787
"education_level, religious_importance, handedness, background_SES, sexual_attraction_F, sexual_attraction_M",232,474,1.7974137931034482
"education_level, religious_importance, handedness, gender_identity_F, gender_identity_M, sexual_attraction_F",117,803,0.7521367521367521
"education_level, religious_importance, handedness, gender_identity_F, gender_identity_M, sexual_attraction_M",114,804,0.7631578947368421
"education_level, religious_importance, handedness, gender_identity_F, sexual_attraction_F, sexual_attraction_M",111,793,0.8828828828828829
"education_level, religious_importance, handedness, gender_identity_M, sexual_attraction_F, sexual_attraction_M",101,790,1.0
"education_level, religious_importance, religious_now, religious_upbringing, BMI, background_SES",366,151,2.021857923497268
"education_level, religious_importance, religious_now, religious_upbringing, BMI, gender_identity_F",290,305,2.0206896551724136
"education_level, religious_importance, religious_now, religious_upbringing, BMI, gender_identity_M",284,308,2.0528169014084505
"education_level, religious_importance, religious_now, religious_upbringing, BMI, sexual_attraction_F",290,316,1.9827586206896552
"education_level, religious_importance, religious_now, religious_upbringing, BMI, sexual_attraction_M",303,319,1.8877887788778878
"education_level, religious_importance, religious_now, religious_upbringing, background_SES, gender_identity_F",194,421,2.422680412371134
"education_level, religious_importance, religious_now, religious_upbringing, background_SES, gender_identity_M",190,410,2.531578947368421
"education_level, religious_importance, religious_now, religious_upbringing, background_SES, sexual_attraction_F",205,432,2.2390243902439027
"education_level, religious_importance, religious_now, religious_upbringing, background_SES, sexual_attraction_M",197,433,2.3248730964467006
"education_level, religious_importance, religious_now, religious_upbringing, gender_identity_F, gender_identity_M",78,756,1.7307692307692308
"education_level, religious_importance, religious_now, religious_upbringing, gender_identity_F, sexual_attraction_F",92,777,1.2391304347826086
"education_level, religious_importance, religious_now, religious_upbringing, gender_identity_F, sexual_attraction_M",90,774,1.3
"education_level, religious_importance, religious_now, religious_upbringing, gender_identity_M, sexual_attraction_F",97,765,1.2989690721649485
"education_level, religious_importance, religious_now, religious_upbringing, gender_identity_M, sexual_attraction_M",93,763,1.3763440860215055
"education_level, religious_importance, religious_now, religious_upbringing, sexual_attraction_F, sexual_attraction_M",75,749,1.8933333333333333
"education_level, religious_importance, religious_now, BMI, background_SES, gender_identity_F",522,157,1.4061302681992338
"education_level, religious_importance, religious_now, BMI, background_SES, gender_identity_M",525,162,1.3885714285714286
"education_level, religious_importance, religious_now, BMI, background_SES, sexual_attraction_F",520,166,1.3942307692307692
"education_level, religious_importance, religious_now, BMI, background_SES, sexual_attraction_M",524,168,1.3797709923664123
"education_level, religious_importance, religious_now, BMI, gender_identity_F, gender_identity_M",271,364,1.944649446494465
"education_level, religious_importance, religious_now, BMI, gender_identity_F, sexual_attraction_F",312,395,1.5897435897435896
"education_level, religious_importance, religious_now, BMI, gender_identity_F, sexual_attraction_M",317,399,1.5520504731861198
"education_level, religious_importance, religious_now, BMI, gender_identity_M, sexual_attraction_F",309,396,1.6019417475728155
"education_level, religious_importance, religious_now, BMI, gender_identity_M, sexual_attraction_M",295,405,1.647457627118644
"education_level, religious_importance, religious_now, BMI, sexual_attraction_F, sexual_attraction_M",265,352,2.0339622641509436
"education_level, religious_importance, religious_now, background_SES, gender_identity_F, gender_identity_M",206,495,1.9223300970873787
"education_level, religious_importance, religious_now, background_SES, gender_identity_F, sexual_attraction_F",234,522,1.5769230769230769
"education_level, religious_importance, religious_now, background_SES, gender_identity_F, sexual_attraction_M",230,525,1.5913043478260869
"education_level, religious_importance, religious_now, background_SES, gender_identity_M, sexual_attraction_F",227,515,1.6563876651982379
"education_level, religious_importance, religious_now, background_SES, gender_identity_M, sexual_attraction_M",222,516,1.6891891891891893
"education_level, religious_importance, religious_now, background_SES, sexual_attraction_F, sexual_attraction_M",204,486,1.9852941176470589
"education_level, religious_importance, religious_now, gender_identity_F, gender_identity_M, sexual_attraction_F",96,810,0.84375
"education_level, religious_importance, religious_now, gender_identity_F, gender_identity_M, sexual_attraction_M",87,809,0.9425287356321839
"education_level, religious_importance, religious_now, gender_identity_F, sexual_attraction_F, sexual_attraction_M",92,800,0.9891304347826086
"education_level, religious_importance, religious_now, gender_identity_M, sexual_attraction_F, sexual_attraction_M",82,801,1.0975609756097562
"education_level, religious_importance, religious_upbringing, BMI, background_SES, gender_identity_F",596,140,1.2600671140939597
"education_level, religious_importance, religious_upbringing, BMI, background_SES, gender_identity_M",596,148,1.2466442953020134
"education_level, religious_importance, religious_upbringing, BMI, background_SES, sexual_attraction_F",597,150,1.2412060301507537
"education_level, religious_importance, religious_upbringing, BMI, background_SES, sexual_attraction_M",594,151,1.245791245791246
"education_level, religious_importance, religious_upbringing, BMI, gender_identity_F, gender_identity_M",324,346,1.6820987654320987
"education_level, religious_importance, religious_upbringing, BMI, gender_identity_F, sexual_attraction_F",362,376,1.4226519337016574
"education_level, religious_importance, religious_upbringing, BMI, gender_identity_F, sexual_attraction_M",367,376,1.4032697547683923
"education_level, religious_importance, religious_upbringing, BMI, gender_identity_M, sexual_attraction_F",359,375,1.4373259052924792
"education_level, religious_importance, religious_upbringing, BMI, gender_identity_M, sexual_attraction_M",352,380,1.4517045454545454
"education_level, religious_importance, religious_upbringing, BMI, sexual_attraction_F, sexual_attraction_M",327,334,1.7033639143730888
"education_level, religious_importance, religious_upbringing, background_SES, gender_identity_F, gender_identity_M",253,455,1.7233201581027668
"education_level, religious_importance, religious_upbringing, background_SES, gender_identity_F, sexual_attraction_F",284,491,1.408450704225352
"education_level, religious_importance, religious_upbringing, background_SES, gender_identity_F, sexual_attraction_M",278,492,1.435251798561151
"education_level, religious_importance, religious_upbringing, background_SES, gender_identity_M, sexual_attraction_F",266,481,1.5413533834586466
"education_level, religious_importance, religious_upbringing, background_SES, gender_identity_M, sexual_attraction_M",262,477,1.5801526717557253
"education_level, religious_importance, religious_upbringing, background_SES, sexual_attraction_F, sexual_attraction_M",240,454,1.8208333333333333
"education_level, religious_importance, religious_upbringing, gender_identity_F, gender_identity_M, sexual_attraction_F",127,789,0.8031496062992126
"education_level, religious_importance, religious_upbringing, gender_identity_F, gender_identity_M, sexual_attraction_M",119,786,0.8823529411764706
"education_level, religious_importance, religious_upbringing, gender_identity_F, sexual_attraction_F, sexual_attraction_M",128,767,0.96875
"education_level, religious_importance, religious_upbringing, gender_identity_M, sexual_attraction_F, sexual_attraction_M",114,764,1.1140350877192982
"education_level, religious_importance, BMI, background_SES, gender_identity_F, gender_identity_M",559,140,1.3434704830053668
"education_level, religious_importance, BMI, background_SES, gender_identity_F, sexual_attraction_F",584,157,1.2568493150684932
"education_level, religious_importance, BMI, background_SES, gender_identity_F, sexual_attraction_M",586,157,1.2525597269624573
"education_level, religious_importance, BMI, background_SES, gender_identity_M, sexual_attraction_F",580,163,1.2551724137931035
"education_level, religious_importance, BMI, background_SES, gender_identity_M, sexual_attraction_M",584,170,1.2345890410958904
"education_level, religious_importance, BMI, background_SES, sexual_attraction_F, sexual_attraction_M",544,121,1.4154411764705883
"education_level, religious_importance, BMI, gender_identity_F, gender_identity_M, sexual_attraction_F",346,411,1.3872832369942196
"education_level, religious_importance, BMI, gender_identity_F, gender_identity_M, sexual_attraction_M",346,416,1.3728323699421965
"education_level, religious_importance, BMI, gender_identity_F, sexual_attraction_F, sexual_attraction_M",337,383,1.5074183976261128
"education_level, religious_importance, BMI, gender_identity_M, sexual_attraction_F, sexual_attraction_M",326,379,1.5705521472392638
"education_level, religious_importance, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_F",269,527,1.3531598513011152
"education_level, religious_importance, background_SES, gender_identity_F, gender_identity_M, sexual_attraction_M",266,535,1.3383458646616542
"education_level, religious_importance, background_SES, gender_identity_F, sexual_attraction_F, sexual_attraction_M",262,511,1.450381679389313
"education_level, religious_importance, background_SES, gender_identity_M, sexual_attraction_F, sexual_attraction_M",254,513,1.4881889763779528
"education_level, religious_importance, gender_identity_F, gender_identity_M, sexual_attraction_F, sexual_attraction_M",118,716,1.4830508474576272
"education_level, sex, handedness, religious_now, religious_upbringing, BMI",180,389,2.7888888888888888
"education_level, sex, handedness, religious_now, religious_upbringing, background_SES",82,478,5.036585365853658
"education_level, sex, handedness, religious_now, religious_upbringing, gender_identity_F",35,753,3.942857142857143
"education_level, sex, handedness, religious_now, religious_upbringing, gender_identity_M",44,737,3.5
"education_level, sex, handedness, religious_now, religious_upbringing, sexual_attraction_F",47,751,2.978723404255319
"education_level, sex, handedness, religious_now, religious_upbringing, sexual_attraction_M",50,749,2.84
"education_level, sex, handedness, religious_now, BMI, background_SES",418,225,1.5933014354066986
"education_level, sex, handedness, religious_now, BMI, gender_identity_F",247,406,1.9635627530364372
"education_level, sex, handedness, religious_now, BMI, gender_identity_M",232,413,2.060344827586207
"education_level, sex, handedness, religious_now, BMI, sexual_attraction_F",270,421,1.7407407407407407
"education_level, sex, handedness, religious_now, BMI, sexual_attraction_M",269,425,1.7323420074349443
"education_level, sex, handedness, religious_now, background_SES, gender_identity_F",137,522,2.6934306569343067
"education_level, sex, handedness, religious_now, background_SES, gender_identity_M",131,507,2.931297709923664
"education_level, sex, handedness, religious_now, background_SES, sexual_attraction_F",162,521,2.2839506172839505
"education_level, sex, handedness, religious_now, background_SES, sexual_attraction_M",157,526,2.3248407643312103
"education_level, sex, handedness, religious_now, gender_identity_F, gender_identity_M",41,762,3.1463414634146343
"education_level, sex, handedness, religious_now, gender_identity_F, sexual_attraction_F",60,788,1.7166666666666666
"education_level, sex, handedness, religious_now, gender_identity_F, sexual_attraction_M",66,787,1.5757575757575757
"education_level, sex, handedness, religious_now, gender_identity_M, sexual_attraction_F",62,775,1.8709677419354838
"education_level, sex, handedness, religious_now, gender_identity_M, sexual_attraction_M",66,775,1.7575757575757576
"education_level, sex, handedness, religious_now, sexual_attraction_F, sexual_attraction_M",48,770,2.5208333333333335
"education_level, sex, handedness, religious_upbringing, BMI, background_SES",462,189,1.5194805194805194
"education_level, sex, handedness, religious_upbringing, BMI, gender_identity_F",262,355,2.045801526717557
"education_level, sex, handedness, religious_upbringing, BMI, gender_identity_M",250,362,2.116
"education_level, sex, handedness, religious_upbringing, BMI, sexual_attraction_F",286,369,1.8251748251748252
"education_level, sex, handedness, religious_upbringing, BMI, sexual_attraction_M",294,367,1.782312925170068
"education_level, sex, handedness, religious_upbringing, background_SES, gender_identity_F",152,459,2.8421052631578947
