,Combination,SUDA_Sum
403,"LANGUAGE, MARITAL_STATUS, ETHNICITY_1, WORK_NIH_CAMPUS",667
404,"LANGUAGE, MARITAL_STATUS, GENDER, WORK_NIH_CAMPUS",657
405,"LANGUAGE, EDUCATION, EMPLOYMENT, LGBT_IDENTITY",790
406,"LANGUAGE, EDUCATION, EMPLOYMENT, ETHNICITY_1",756
407,"LANGUAGE, EDUCATION, EMPLOYMENT, GENDER",744
408,"LANGUAGE, EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",751
409,"LANGUAGE, EDUCATION, LGBT_IDENTITY, ETHNICITY_1",691
410,"LANGUAGE, EDUCATION, LGBT_IDENTITY, GENDER",694
411,"LANGUAGE, EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",713
412,"LANGUAGE, EDUCATION, ETHNICITY_1, GENDER",657
413,"LANGUAGE, EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",649
414,"LANGUAGE, EDUCATION, GENDER, WORK_NIH_CAMPUS",658
415,"LANGUAGE, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",697
416,"LANGUAGE, EMPLOYMENT, LGBT_IDENTITY, GENDER",670
417,"LANGUAGE, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",698
418,"LANGUAGE, EMPLOYMENT, ETHNICITY_1, GENDER",654
419,"LANGUAGE, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",686
420,"LANGUAGE, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",655
421,"LANGUAGE, LGBT_IDENTITY, ETHNICITY_1, GENDER",607
422,"LANGUAGE, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",642
423,"LANGUAGE, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",621
424,"LANGUAGE, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",583
425,"RACE_1, MARITAL_STATUS, EDUCATION, EMPLOYMENT",296
426,"RACE_1, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",272
427,"RACE_1, MARITAL_STATUS, EDUCATION, ETHNICITY_1",236
428,"RACE_1, MARITAL_STATUS, EDUCATION, GENDER",196
429,"RACE_1, MARITAL_STATUS, EDUCATION, WORK_NIH_CAMPUS",208
430,"RACE_1, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",262
431,"RACE_1, MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",229
432,"RACE_1, MARITAL_STATUS, EMPLOYMENT, GENDER",195
433,"RACE_1, MARITAL_STATUS, EMPLOYMENT, WORK_NIH_CAMPUS",176
434,"RACE_1, MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",187
435,"RACE_1, MARITAL_STATUS, LGBT_IDENTITY, GENDER",155
436,"RACE_1, MARITAL_STATUS, LGBT_IDENTITY, WORK_NIH_CAMPUS",187
437,"RACE_1, MARITAL_STATUS, ETHNICITY_1, GENDER",121
438,"RACE_1, MARITAL_STATUS, ETHNICITY_1, WORK_NIH_CAMPUS",152
439,"RACE_1, MARITAL_STATUS, GENDER, WORK_NIH_CAMPUS",103
440,"RACE_1, EDUCATION, EMPLOYMENT, LGBT_IDENTITY",263
441,"RACE_1, EDUCATION, EMPLOYMENT, ETHNICITY_1",230
442,"RACE_1, EDUCATION, EMPLOYMENT, GENDER",201
443,"RACE_1, EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",185
444,"RACE_1, EDUCATION, LGBT_IDENTITY, ETHNICITY_1",192
445,"RACE_1, EDUCATION, LGBT_IDENTITY, GENDER",168
446,"RACE_1, EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",181
447,"RACE_1, EDUCATION, ETHNICITY_1, GENDER",133
448,"RACE_1, EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",148
449,"RACE_1, EDUCATION, GENDER, WORK_NIH_CAMPUS",117
450,"RACE_1, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",185
451,"RACE_1, EMPLOYMENT, LGBT_IDENTITY, GENDER",166
452,"RACE_1, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",168
453,"RACE_1, EMPLOYMENT, ETHNICITY_1, GENDER",137
454,"RACE_1, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",154
455,"RACE_1, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",115
456,"RACE_1, LGBT_IDENTITY, ETHNICITY_1, GENDER",104
457,"RACE_1, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",132
458,"RACE_1, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",87
459,"RACE_1, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",75
460,"MARITAL_STATUS, EDUCATION, EMPLOYMENT, LGBT_IDENTITY",248
461,"MARITAL_STATUS, EDUCATION, EMPLOYMENT, ETHNICITY_1",221
462,"MARITAL_STATUS, EDUCATION, EMPLOYMENT, GENDER",201
463,"MARITAL_STATUS, EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",182
464,"MARITAL_STATUS, EDUCATION, LGBT_IDENTITY, ETHNICITY_1",187
465,"MARITAL_STATUS, EDUCATION, LGBT_IDENTITY, GENDER",170
466,"MARITAL_STATUS, EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",180
467,"MARITAL_STATUS, EDUCATION, ETHNICITY_1, GENDER",137
468,"MARITAL_STATUS, EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",147
469,"MARITAL_STATUS, EDUCATION, GENDER, WORK_NIH_CAMPUS",129
470,"MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",191
471,"MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY, GENDER",164
472,"MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",169
473,"MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1, GENDER",142
474,"MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",140
475,"MARITAL_STATUS, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",110
476,"MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1, GENDER",101
477,"MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",129
478,"MARITAL_STATUS, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",80
479,"MARITAL_STATUS, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",73
480,"EDUCATION, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",173
481,"EDUCATION, EMPLOYMENT, LGBT_IDENTITY, GENDER",149
482,"EDUCATION, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",133
483,"EDUCATION, EMPLOYMENT, ETHNICITY_1, GENDER",144
484,"EDUCATION, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",127
485,"EDUCATION, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",94
486,"EDUCATION, LGBT_IDENTITY, ETHNICITY_1, GENDER",101
487,"EDUCATION, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",99
488,"EDUCATION, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",86
489,"EDUCATION, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",73
490,"EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1, GENDER",96
491,"EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",110
492,"EMPLOYMENT, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",70
493,"EMPLOYMENT, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",80
494,"LGBT_IDENTITY, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",43
495,"AGE, INCOME, LANGUAGE, RACE_1, MARITAL_STATUS",11042
496,"AGE, INCOME, LANGUAGE, RACE_1, EDUCATION",11406
497,"AGE, INCOME, LANGUAGE, RACE_1, EMPLOYMENT",11208
498,"AGE, INCOME, LANGUAGE, RACE_1, LGBT_IDENTITY",10708
499,"AGE, INCOME, LANGUAGE, RACE_1, ETHNICITY_1",9840
500,"AGE, INCOME, LANGUAGE, RACE_1, GENDER",10172
501,"AGE, INCOME, LANGUAGE, RACE_1, WORK_NIH_CAMPUS",10599
502,"AGE, INCOME, LANGUAGE, MARITAL_STATUS, EDUCATION",11193
503,"AGE, INCOME, LANGUAGE, MARITAL_STATUS, EMPLOYMENT",10959
504,"AGE, INCOME, LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY",10530
505,"AGE, INCOME, LANGUAGE, MARITAL_STATUS, ETHNICITY_1",9778
506,"AGE, INCOME, LANGUAGE, MARITAL_STATUS, GENDER",10074
507,"AGE, INCOME, LANGUAGE, MARITAL_STATUS, WORK_NIH_CAMPUS",10285
508,"AGE, INCOME, LANGUAGE, EDUCATION, EMPLOYMENT",11371
509,"AGE, INCOME, LANGUAGE, EDUCATION, LGBT_IDENTITY",10906
510,"AGE, INCOME, LANGUAGE, EDUCATION, ETHNICITY_1",10115
511,"AGE, INCOME, LANGUAGE, EDUCATION, GENDER",10452
512,"AGE, INCOME, LANGUAGE, EDUCATION, WORK_NIH_CAMPUS",10620
513,"AGE, INCOME, LANGUAGE, EMPLOYMENT, LGBT_IDENTITY",10652
514,"AGE, INCOME, LANGUAGE, EMPLOYMENT, ETHNICITY_1",9871
515,"AGE, INCOME, LANGUAGE, EMPLOYMENT, GENDER",10184
516,"AGE, INCOME, LANGUAGE, EMPLOYMENT, WORK_NIH_CAMPUS",10411
517,"AGE, INCOME, LANGUAGE, LGBT_IDENTITY, ETHNICITY_1",9444
518,"AGE, INCOME, LANGUAGE, LGBT_IDENTITY, GENDER",9777
519,"AGE, INCOME, LANGUAGE, LGBT_IDENTITY, WORK_NIH_CAMPUS",10044
520,"AGE, INCOME, LANGUAGE, ETHNICITY_1, GENDER",8935
521,"AGE, INCOME, LANGUAGE, ETHNICITY_1, WORK_NIH_CAMPUS",9235
522,"AGE, INCOME, LANGUAGE, GENDER, WORK_NIH_CAMPUS",9511
523,"AGE, INCOME, RACE_1, MARITAL_STATUS, EDUCATION",9077
524,"AGE, INCOME, RACE_1, MARITAL_STATUS, EMPLOYMENT",8850
525,"AGE, INCOME, RACE_1, MARITAL_STATUS, LGBT_IDENTITY",8357
526,"AGE, INCOME, RACE_1, MARITAL_STATUS, ETHNICITY_1",7591
527,"AGE, INCOME, RACE_1, MARITAL_STATUS, GENDER",7844
528,"AGE, INCOME, RACE_1, MARITAL_STATUS, WORK_NIH_CAMPUS",8191
529,"AGE, INCOME, RACE_1, EDUCATION, EMPLOYMENT",9256
530,"AGE, INCOME, RACE_1, EDUCATION, LGBT_IDENTITY",8763
531,"AGE, INCOME, RACE_1, EDUCATION, ETHNICITY_1",7942
532,"AGE, INCOME, RACE_1, EDUCATION, GENDER",8272
533,"AGE, INCOME, RACE_1, EDUCATION, WORK_NIH_CAMPUS",8561
534,"AGE, INCOME, RACE_1, EMPLOYMENT, LGBT_IDENTITY",8585
535,"AGE, INCOME, RACE_1, EMPLOYMENT, ETHNICITY_1",7744
536,"AGE, INCOME, RACE_1, EMPLOYMENT, GENDER",8021
537,"AGE, INCOME, RACE_1, EMPLOYMENT, WORK_NIH_CAMPUS",8370
538,"AGE, INCOME, RACE_1, LGBT_IDENTITY, ETHNICITY_1",7299
539,"AGE, INCOME, RACE_1, LGBT_IDENTITY, GENDER",7602
540,"AGE, INCOME, RACE_1, LGBT_IDENTITY, WORK_NIH_CAMPUS",7944
541,"AGE, INCOME, RACE_1, ETHNICITY_1, GENDER",6746
542,"AGE, INCOME, RACE_1, ETHNICITY_1, WORK_NIH_CAMPUS",7106
543,"AGE, INCOME, RACE_1, GENDER, WORK_NIH_CAMPUS",7402
544,"AGE, INCOME, MARITAL_STATUS, EDUCATION, EMPLOYMENT",9023
545,"AGE, INCOME, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",8547
546,"AGE, INCOME, MARITAL_STATUS, EDUCATION, ETHNICITY_1",7802
547,"AGE, INCOME, MARITAL_STATUS, EDUCATION, GENDER",8072
548,"AGE, INCOME, MARITAL_STATUS, EDUCATION, WORK_NIH_CAMPUS",8270
549,"AGE, INCOME, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",8319
550,"AGE, INCOME, MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",7549
551,"AGE, INCOME, MARITAL_STATUS, EMPLOYMENT, GENDER",7809
552,"AGE, INCOME, MARITAL_STATUS, EMPLOYMENT, WORK_NIH_CAMPUS",8065
553,"AGE, INCOME, MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",7192
554,"AGE, INCOME, MARITAL_STATUS, LGBT_IDENTITY, GENDER",7409
555,"AGE, INCOME, MARITAL_STATUS, LGBT_IDENTITY, WORK_NIH_CAMPUS",7621
556,"AGE, INCOME, MARITAL_STATUS, ETHNICITY_1, GENDER",6706
557,"AGE, INCOME, MARITAL_STATUS, ETHNICITY_1, WORK_NIH_CAMPUS",6877
558,"AGE, INCOME, MARITAL_STATUS, GENDER, WORK_NIH_CAMPUS",7119
559,"AGE, INCOME, EDUCATION, EMPLOYMENT, LGBT_IDENTITY",8686
560,"AGE, INCOME, EDUCATION, EMPLOYMENT, ETHNICITY_1",7953
561,"AGE, INCOME, EDUCATION, EMPLOYMENT, GENDER",8200
562,"AGE, INCOME, EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",8407
563,"AGE, INCOME, EDUCATION, LGBT_IDENTITY, ETHNICITY_1",7538
564,"AGE, INCOME, EDUCATION, LGBT_IDENTITY, GENDER",7802
565,"AGE, INCOME, EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",7957
566,"AGE, INCOME, EDUCATION, ETHNICITY_1, GENDER",7048
567,"AGE, INCOME, EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",7202
568,"AGE, INCOME, EDUCATION, GENDER, WORK_NIH_CAMPUS",7456
569,"AGE, INCOME, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",7303
570,"AGE, INCOME, EMPLOYMENT, LGBT_IDENTITY, GENDER",7543
571,"AGE, INCOME, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",7737
572,"AGE, INCOME, EMPLOYMENT, ETHNICITY_1, GENDER",6785
573,"AGE, INCOME, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",6979
574,"AGE, INCOME, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",7242
575,"AGE, INCOME, LGBT_IDENTITY, ETHNICITY_1, GENDER",6431
576,"AGE, INCOME, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",6638
577,"AGE, INCOME, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",6865
578,"AGE, INCOME, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",6124
579,"AGE, LANGUAGE, RACE_1, MARITAL_STATUS, EDUCATION",8623
580,"AGE, LANGUAGE, RACE_1, MARITAL_STATUS, EMPLOYMENT",8381
581,"AGE, LANGUAGE, RACE_1, MARITAL_STATUS, LGBT_IDENTITY",7953
582,"AGE, LANGUAGE, RACE_1, MARITAL_STATUS, ETHNICITY_1",7254
583,"AGE, LANGUAGE, RACE_1, MARITAL_STATUS, GENDER",7363
584,"AGE, LANGUAGE, RACE_1, MARITAL_STATUS, WORK_NIH_CAMPUS",7728
585,"AGE, LANGUAGE, RACE_1, EDUCATION, EMPLOYMENT",8739
586,"AGE, LANGUAGE, RACE_1, EDUCATION, LGBT_IDENTITY",8296
587,"AGE, LANGUAGE, RACE_1, EDUCATION, ETHNICITY_1",7558
588,"AGE, LANGUAGE, RACE_1, EDUCATION, GENDER",7761
589,"AGE, LANGUAGE, RACE_1, EDUCATION, WORK_NIH_CAMPUS",8039
590,"AGE, LANGUAGE, RACE_1, EMPLOYMENT, LGBT_IDENTITY",7949
591,"AGE, LANGUAGE, RACE_1, EMPLOYMENT, ETHNICITY_1",7267
592,"AGE, LANGUAGE, RACE_1, EMPLOYMENT, GENDER",7436
593,"AGE, LANGUAGE, RACE_1, EMPLOYMENT, WORK_NIH_CAMPUS",7844
594,"AGE, LANGUAGE, RACE_1, LGBT_IDENTITY, ETHNICITY_1",6879
595,"AGE, LANGUAGE, RACE_1, LGBT_IDENTITY, GENDER",7075
596,"AGE, LANGUAGE, RACE_1, LGBT_IDENTITY, WORK_NIH_CAMPUS",7454
597,"AGE, LANGUAGE, RACE_1, ETHNICITY_1, GENDER",6306
598,"AGE, LANGUAGE, RACE_1, ETHNICITY_1, WORK_NIH_CAMPUS",6701
599,"AGE, LANGUAGE, RACE_1, GENDER, WORK_NIH_CAMPUS",6825
600,"AGE, LANGUAGE, MARITAL_STATUS, EDUCATION, EMPLOYMENT",8583
601,"AGE, LANGUAGE, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",8241
602,"AGE, LANGUAGE, MARITAL_STATUS, EDUCATION, ETHNICITY_1",7545
603,"AGE, LANGUAGE, MARITAL_STATUS, EDUCATION, GENDER",7667
604,"AGE, LANGUAGE, MARITAL_STATUS, EDUCATION, WORK_NIH_CAMPUS",7805
605,"AGE, LANGUAGE, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",7917
606,"AGE, LANGUAGE, MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",7278
607,"AGE, LANGUAGE, MARITAL_STATUS, EMPLOYMENT, GENDER",7378
608,"AGE, LANGUAGE, MARITAL_STATUS, EMPLOYMENT, WORK_NIH_CAMPUS",7609
609,"AGE, LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",6942
610,"AGE, LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY, GENDER",7068
611,"AGE, LANGUAGE, MARITAL_STATUS, LGBT_IDENTITY, WORK_NIH_CAMPUS",7323
612,"AGE, LANGUAGE, MARITAL_STATUS, ETHNICITY_1, GENDER",6361
613,"AGE, LANGUAGE, MARITAL_STATUS, ETHNICITY_1, WORK_NIH_CAMPUS",6647
614,"AGE, LANGUAGE, MARITAL_STATUS, GENDER, WORK_NIH_CAMPUS",6656
615,"AGE, LANGUAGE, EDUCATION, EMPLOYMENT, LGBT_IDENTITY",8278
616,"AGE, LANGUAGE, EDUCATION, EMPLOYMENT, ETHNICITY_1",7612
617,"AGE, LANGUAGE, EDUCATION, EMPLOYMENT, GENDER",7771
618,"AGE, LANGUAGE, EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",7959
619,"AGE, LANGUAGE, EDUCATION, LGBT_IDENTITY, ETHNICITY_1",7234
620,"AGE, LANGUAGE, EDUCATION, LGBT_IDENTITY, GENDER",7450
621,"AGE, LANGUAGE, EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",7609
622,"AGE, LANGUAGE, EDUCATION, ETHNICITY_1, GENDER",6670
623,"AGE, LANGUAGE, EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",6857
624,"AGE, LANGUAGE, EDUCATION, GENDER, WORK_NIH_CAMPUS",6974
625,"AGE, LANGUAGE, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",6859
626,"AGE, LANGUAGE, EMPLOYMENT, LGBT_IDENTITY, GENDER",7018
627,"AGE, LANGUAGE, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",7292
628,"AGE, LANGUAGE, EMPLOYMENT, ETHNICITY_1, GENDER",6354
629,"AGE, LANGUAGE, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",6681
630,"AGE, LANGUAGE, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",6763
631,"AGE, LANGUAGE, LGBT_IDENTITY, ETHNICITY_1, GENDER",6077
632,"AGE, LANGUAGE, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",6352
633,"AGE, LANGUAGE, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",6402
634,"AGE, LANGUAGE, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",5696
635,"AGE, RACE_1, MARITAL_STATUS, EDUCATION, EMPLOYMENT",6316
636,"AGE, RACE_1, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY",5941
637,"AGE, RACE_1, MARITAL_STATUS, EDUCATION, ETHNICITY_1",5232
638,"AGE, RACE_1, MARITAL_STATUS, EDUCATION, GENDER",5347
639,"AGE, RACE_1, MARITAL_STATUS, EDUCATION, WORK_NIH_CAMPUS",5563
640,"AGE, RACE_1, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY",5663
641,"AGE, RACE_1, MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1",4969
642,"AGE, RACE_1, MARITAL_STATUS, EMPLOYMENT, GENDER",5067
643,"AGE, RACE_1, MARITAL_STATUS, EMPLOYMENT, WORK_NIH_CAMPUS",5332
644,"AGE, RACE_1, MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1",4571
645,"AGE, RACE_1, MARITAL_STATUS, LGBT_IDENTITY, GENDER",4654
646,"AGE, RACE_1, MARITAL_STATUS, LGBT_IDENTITY, WORK_NIH_CAMPUS",4975
647,"AGE, RACE_1, MARITAL_STATUS, ETHNICITY_1, GENDER",3970
648,"AGE, RACE_1, MARITAL_STATUS, ETHNICITY_1, WORK_NIH_CAMPUS",4310
649,"AGE, RACE_1, MARITAL_STATUS, GENDER, WORK_NIH_CAMPUS",4340
650,"AGE, RACE_1, EDUCATION, EMPLOYMENT, LGBT_IDENTITY",6027
651,"AGE, RACE_1, EDUCATION, EMPLOYMENT, ETHNICITY_1",5323
652,"AGE, RACE_1, EDUCATION, EMPLOYMENT, GENDER",5507
653,"AGE, RACE_1, EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",5710
654,"AGE, RACE_1, EDUCATION, LGBT_IDENTITY, ETHNICITY_1",4922
655,"AGE, RACE_1, EDUCATION, LGBT_IDENTITY, GENDER",5115
656,"AGE, RACE_1, EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",5332
657,"AGE, RACE_1, EDUCATION, ETHNICITY_1, GENDER",4355
658,"AGE, RACE_1, EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",4583
659,"AGE, RACE_1, EDUCATION, GENDER, WORK_NIH_CAMPUS",4740
660,"AGE, RACE_1, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",4576
661,"AGE, RACE_1, EMPLOYMENT, LGBT_IDENTITY, GENDER",4745
662,"AGE, RACE_1, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",5049
663,"AGE, RACE_1, EMPLOYMENT, ETHNICITY_1, GENDER",4052
664,"AGE, RACE_1, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",4364
665,"AGE, RACE_1, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",4536
666,"AGE, RACE_1, LGBT_IDENTITY, ETHNICITY_1, GENDER",3704
667,"AGE, RACE_1, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",3993
668,"AGE, RACE_1, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",4107
669,"AGE, RACE_1, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",3404
670,"AGE, MARITAL_STATUS, EDUCATION, EMPLOYMENT, LGBT_IDENTITY",5871
671,"AGE, MARITAL_STATUS, EDUCATION, EMPLOYMENT, ETHNICITY_1",5205
672,"AGE, MARITAL_STATUS, EDUCATION, EMPLOYMENT, GENDER",5290
673,"AGE, MARITAL_STATUS, EDUCATION, EMPLOYMENT, WORK_NIH_CAMPUS",5461
674,"AGE, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY, ETHNICITY_1",4900
675,"AGE, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY, GENDER",4993
676,"AGE, MARITAL_STATUS, EDUCATION, LGBT_IDENTITY, WORK_NIH_CAMPUS",5109
677,"AGE, MARITAL_STATUS, EDUCATION, ETHNICITY_1, GENDER",4275
678,"AGE, MARITAL_STATUS, EDUCATION, ETHNICITY_1, WORK_NIH_CAMPUS",4446
679,"AGE, MARITAL_STATUS, EDUCATION, GENDER, WORK_NIH_CAMPUS",4467
680,"AGE, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",4613
681,"AGE, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY, GENDER",4649
682,"AGE, MARITAL_STATUS, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",4853
683,"AGE, MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1, GENDER",4008
684,"AGE, MARITAL_STATUS, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",4252
685,"AGE, MARITAL_STATUS, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",4253
686,"AGE, MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1, GENDER",3703
687,"AGE, MARITAL_STATUS, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",3953
688,"AGE, MARITAL_STATUS, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",3860
689,"AGE, MARITAL_STATUS, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",3300
690,"AGE, EDUCATION, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1",4933
691,"AGE, EDUCATION, EMPLOYMENT, LGBT_IDENTITY, GENDER",5064
692,"AGE, EDUCATION, EMPLOYMENT, LGBT_IDENTITY, WORK_NIH_CAMPUS",5196
693,"AGE, EDUCATION, EMPLOYMENT, ETHNICITY_1, GENDER",4368
694,"AGE, EDUCATION, EMPLOYMENT, ETHNICITY_1, WORK_NIH_CAMPUS",4560
695,"AGE, EDUCATION, EMPLOYMENT, GENDER, WORK_NIH_CAMPUS",4622
696,"AGE, EDUCATION, LGBT_IDENTITY, ETHNICITY_1, GENDER",4084
697,"AGE, EDUCATION, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",4187
698,"AGE, EDUCATION, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",4270
699,"AGE, EDUCATION, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",3561
700,"AGE, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1, GENDER",3701
701,"AGE, EMPLOYMENT, LGBT_IDENTITY, ETHNICITY_1, WORK_NIH_CAMPUS",3917
702,"AGE, EMPLOYMENT, LGBT_IDENTITY, GENDER, WORK_NIH_CAMPUS",3988
703,"AGE, EMPLOYMENT, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",3395
704,"AGE, LGBT_IDENTITY, ETHNICITY_1, GENDER, WORK_NIH_CAMPUS",3031
705,"INCOME, LANGUAGE, RACE_1, MARITAL_STATUS, EDUCATION",4535
706,"INCOME, LANGUAGE, RACE_1, MARITAL_STATUS, EMPLOYMENT",4488
707,"INCOME, LANGUAGE, RACE_1, MARITAL_STATUS, LGBT_IDENTITY",4275
708,"INCOME, LANGUAGE, RACE_1, MARITAL_STATUS, ETHNICITY_1",3923
709,"INCOME, LANGUAGE, RACE_1, MARITAL_STATUS, GENDER",3877
710,"INCOME, LANGUAGE, RACE_1, MARITAL_STATUS, WORK_NIH_CAMPUS",3985
711,"INCOME, LANGUAGE, RACE_1, EDUCATION, EMPLOYMENT",4692
712,"INCOME, LANGUAGE, RACE_1, EDUCATION, LGBT_IDENTITY",4400
713,"INCOME, LANGUAGE, RACE_1, EDUCATION, ETHNICITY_1",4043
714,"INCOME, LANGUAGE, RACE_1, EDUCATION, GENDER",4017
